date,open,high,low,close,volume
2026-02-28,65872.09,67760.0,63030.0,66973.26,22548.71649
2026-03-01,66973.26,68199.99,65056.0,65776.47,23201.85859
2026-03-02,65776.48,70096.0,65259.21,68830.06,32010.38431
2026-03-03,68830.06,69258.08,66158.0,68338.0,24972.2418
2026-03-04,68338.01,74050.0,67400.0,72666.77,44919.0761
2026-03-05,72666.77,73558.15,70645.47,70890.72,26590.51253
2026-03-06,70891.02,71419.98,67744.78,68114.02,22629.88722
2026-03-07,68114.02,68551.04,66915.26,67262.91,12719.54315
2026-03-08,67262.91,68200.0,65618.49,65971.2,21593.63901
2026-03-09,65971.2,69516.65,65821.97,68432.16,28896.7213
2026-03-10,68432.16,71777.0,68391.41,69948.63,32602.57726
2026-03-11,69948.64,71321.0,68977.91,70191.86,27249.27542
2026-03-12,70191.86,70800.0,69205.91,70541.34,21997.1605
2026-03-13,70541.34,73913.74,70386.01,70930.0,35996.61678
2026-03-14,70930.01,71307.92,70317.0,71211.95,13017.24737
2026-03-15,71211.95,73199.0,70858.82,72815.24,14037.30704
2026-03-16,72815.25,74909.08,72270.41,74884.67,28409.53019
2026-03-17,74884.67,76000.0,73399.19,73909.36,24521.26636
2026-03-18,73909.37,74672.34,70500.0,71246.54,23392.88093
2026-03-19,71246.55,71613.79,68793.35,69930.0,22364.81819
2026-03-20,69930.01,71367.0,69388.0,70510.73,18121.16745
2026-03-21,70510.73,71100.94,68571.42,68918.12,13397.1675
2026-03-22,68918.12,69588.79,67360.66,67859.0,14843.78682
2026-03-23,67859.0,71817.09,67445.18,70906.45,28335.09119
2026-03-24,70906.45,71400.0,68923.07,70556.74,20702.42244
2026-03-25,70556.74,72026.09,70408.0,71336.53,17719.50066
2026-03-26,71336.53,71436.82,68153.0,68820.31,20820.45768
2026-03-27,68820.31,69179.05,65548.25,66407.28,28603.69557
2026-03-28,66407.28,67288.94,65932.09,66377.03,11462.39847
2026-03-29,66377.04,67130.5,65000.0,66010.93,10052.85584
2026-03-30,66010.93,68169.65,65800.59,66797.37,18353.38975
2026-03-31,66797.38,68589.49,65998.05,68284.48,22105.40662
2026-04-01,68284.49,69310.0,67578.75,68113.92,19020.1899
2026-04-02,68113.92,68653.38,65712.12,66901.99,20203.47916
2026-04-03,66901.99,67370.42,66282.0,66964.3,11429.13131
2026-04-04,66964.29,67562.93,66775.91,67300.42,7373.51613
2026-04-05,67300.42,69136.2,66611.66,69034.18,11733.46752
2026-04-06,69034.18,70351.46,68300.0,68853.66,20281.61044
2026-04-07,68853.66,72761.0,67732.01,71924.22,23750.49661
2026-04-08,71924.22,72857.0,70707.23,71069.93,19802.68627
2026-04-09,71069.93,73145.0,70466.0,71787.97,18158.42159
2026-04-10,71787.98,73434.0,71426.15,72962.7,17372.63288
2026-04-11,72962.71,73790.0,72513.09,73043.16,9070.94374
2026-04-12,73043.16,73137.24,70505.88,70740.98,13472.46801
2026-04-13,70741.56,74900.0,70566.99,74417.99,24230.21625
2026-04-14,74418.0,76038.0,73795.47,74131.55,26532.94456
2026-04-15,74131.55,75425.0,73514.0,74809.99,14425.04167
2026-04-16,74809.99,75534.76,73309.85,75154.29,17088.68777
2026-04-17,75154.28,78333.0,74529.4,77072.0,25941.36694
2026-04-18,77072.01,77420.08,75445.16,75691.76,9141.84456
2026-04-19,75691.76,76240.66,73762.9,73801.79,11369.82232
2026-04-20,73801.8,76558.62,73724.31,75840.97,16993.41034
2026-04-21,75840.97,76927.57,74821.57,76336.15,14912.57132
2026-04-22,76336.14,79472.82,76132.95,78178.23,19737.51225
2026-04-23,78178.22,78662.5,76960.0,78257.48,16970.79501
2026-04-24,78257.48,78581.93,77264.08,77437.13,12675.14315
