date,open,high,low,close,volume
2026-02-28,81.84,85.65,77.12,84.35,4737699.879
2026-03-01,84.35,88.9,81.69,83.6,4435194.222
2026-03-02,83.61,90.29,82.37,86.64,5123433.26
2026-03-03,86.65,87.46,82.5,86.97,4136742.745
2026-03-04,86.98,94.05,84.78,90.85,6329931.383
2026-03-05,90.86,92.96,87.91,88.77,3753710.608
2026-03-06,88.78,89.31,83.64,84.7,3135324.642
2026-03-07,84.69,85.07,82.28,83.22,1465281.721
2026-03-08,83.22,84.13,80.26,81.59,2102965.687
2026-03-09,81.6,87.06,81.54,84.96,3594057.289
2026-03-10,84.95,88.8,84.83,85.88,3643895.134
2026-03-11,85.88,88.09,84.36,86.58,3182175.739
2026-03-12,86.58,87.69,84.72,86.84,2913681.148
2026-03-13,86.83,92.98,86.71,88.18,4940378.617
2026-03-14,88.17,88.71,86.51,88.03,1498143.039
2026-03-15,88.04,93.23,87.36,92.3,2614547.105
2026-03-16,92.31,97.68,91.18,96.2,5621650.621
2026-03-17,96.19,96.95,93.15,94.62,2833557.586
2026-03-18,94.61,95.65,88.55,90.08,3293861.558
2026-03-19,90.07,91.41,87.0,88.89,2609542.924
2026-03-20,88.9,90.45,88.13,89.84,2201411.538
2026-03-21,89.85,90.81,87.14,87.56,1241845.225
2026-03-22,87.55,89.2,85.14,86.2,2138087.131
2026-03-23,86.21,92.26,85.11,91.43,4561706.388
2026-03-24,91.44,92.22,88.42,90.8,3086042.526
2026-03-25,90.8,93.47,90.71,91.7,2652534.798
2026-03-26,91.7,91.98,85.45,86.53,3566192.736
2026-03-27,86.52,87.04,81.86,83.11,2840562.07
2026-03-28,83.11,84.29,81.69,82.09,1667010.099
2026-03-29,82.09,83.24,78.96,81.44,1624673.475
2026-03-30,81.45,84.99,81.15,82.54,3025854.687
2026-03-31,82.55,84.62,80.08,83.2,4272567.426
2026-04-01,83.19,86.65,80.77,81.18,4676736.12
2026-04-02,81.19,81.77,76.7,78.94,4210024.263
2026-04-03,78.95,80.91,78.85,80.4,2230839.74
2026-04-04,80.39,81.61,79.57,80.83,1562930.767
2026-04-05,80.84,82.13,78.52,81.89,1732438.558
2026-04-06,81.89,83.2,79.6,80.03,2730370.564
2026-04-07,80.03,87.02,78.38,85.56,4312598.52
2026-04-08,85.56,85.9,82.24,82.57,2952758.548
2026-04-09,82.56,85.95,81.4,83.33,2775927.629
2026-04-10,83.33,85.67,82.62,84.83,2186078.343
2026-04-11,84.83,86.26,83.8,84.93,1570901.883
2026-04-12,84.94,85.0,81.27,81.53,2174791.866
2026-04-13,81.54,86.81,81.4,86.51,2950390.415
2026-04-14,86.51,87.67,83.3,83.72,3532984.692
2026-04-15,83.72,85.83,82.65,84.9,2602448.593
2026-04-16,84.9,90.53,83.8,89.05,3940291.341
2026-04-17,89.06,90.73,87.34,88.76,4237208.388
2026-04-18,88.77,89.16,85.78,86.16,1893190.543
2026-04-19,86.15,87.12,82.94,83.47,2594849.065
2026-04-20,83.47,86.22,83.34,85.28,2300346.75
2026-04-21,85.29,86.89,84.31,86.03,2111587.269
2026-04-22,86.04,89.32,86.01,86.87,3154871.835
2026-04-23,86.86,87.18,84.48,86.12,2894663.239
2026-04-24,86.12,86.94,84.92,86.18,1818574.663
2026-04-25,86.18,86.8,85.53,86.18,1033932.436
2026-04-26,86.19,87.32,85.84,86.93,1453501.452
2026-04-27,86.93,88.08,83.63,84.82,3009101.691
2026-04-28,84.82,84.93,82.98,84.06,1664394.443
2026-04-29,84.06,85.56,81.4,83.04,2576063.596
2026-04-30,83.05,84.01,82.16,83.09,1372591.611
2026-05-01,83.09,84.86,83.08,83.76,1798067.959
2026-05-02,83.76,84.97,83.44,84.26,1027759.499
2026-05-03,84.26,84.97,83.58,83.91,1268647.522
2026-05-04,83.91,85.9,83.23,84.1,3469307.218
2026-05-05,84.11,86.98,84.04,86.29,2478888.126
2026-05-06,86.29,90.03,86.1,89.16,3483256.03
2026-05-07,89.16,90.44,87.63,88.42,2892180.501
2026-05-08,88.43,92.8,87.6,92.01,2644434.859
2026-05-09,92.02,94.17,91.85,93.13,1974272.696
2026-05-10,93.12,97.0,92.6,96.47,2559168.995
2026-05-11,96.46,98.41,94.3,97.37,3078049.965
2026-05-12,97.37,97.68,93.55,94.28,2810037.359
2026-05-13,94.28,95.99,90.27,91.17,3192571.802
2026-05-14,91.17,93.68,89.82,92.15,2709125.808
2026-05-15,92.16,92.66,88.55,89.24,2675843.631
2026-05-16,89.23,89.44,85.52,86.54,1963021.594
2026-05-17,86.53,87.29,83.5,85.24,1914165.244
2026-05-18,85.23,85.8,83.5,85.38,2771861.344
2026-05-19,85.38,85.97,83.7,84.29,1662986.216
2026-05-20,84.3,87.09,83.85,86.17,2365152.438
2026-05-21,86.17,88.0,85.32,87.36,2654321.9
2026-05-22,87.35,87.85,84.0,84.4,2208484.663
2026-05-23,84.4,87.5,81.5,85.75,2973101.711
2026-05-24,85.76,87.0,83.7,85.27,2086657.403
2026-05-25,85.27,86.52,84.71,85.06,1562235.465
2026-05-26,85.06,86.13,83.15,83.72,2358777.43
2026-05-27,83.73,84.84,82.1,82.44,2119456.363
2026-05-28,82.43,82.76,80.0,81.19,1074866.616
