date,open,high,low,close,volume
2026-04-07,2107.16,2273.87,2060.24,2240.01,460094.8093
2026-04-08,2240.01,2270.55,2179.78,2190.0,404717.6321
2026-04-09,2190.0,2246.0,2157.31,2190.2,275317.9503
2026-04-10,2190.17,2257.99,2176.1,2245.05,272899.0858
2026-04-11,2245.06,2329.93,2229.0,2284.99,214785.4039
2026-04-12,2285.0,2288.57,2175.0,2191.65,258156.8821
2026-04-13,2191.64,2394.71,2175.68,2369.46,453870.8292
2026-04-14,2369.46,2415.5,2302.9,2322.44,460107.3841
2026-04-15,2322.44,2385.61,2308.5,2359.95,268190.6377
2026-04-16,2359.94,2369.59,2285.1,2348.17,328960.9377
2026-04-17,2348.16,2464.91,2317.43,2419.0,491731.3615
2026-04-18,2419.0,2427.64,2339.92,2350.32,221741.3888
2026-04-19,2350.33,2355.3,2252.72,2263.27,256086.8276
2026-04-20,2263.28,2346.78,2259.67,2313.85,301000.0659
2026-04-21,2313.84,2338.75,2284.19,2327.14,226645.977
2026-04-22,2327.15,2423.75,2312.95,2374.07,379707.1259
2026-04-23,2374.08,2382.0,2285.42,2330.26,356645.6923
2026-04-24,2330.27,2337.5,2300.22,2314.99,183887.6181
2026-04-25,2314.98,2323.21,2300.55,2319.5,68139.2191
2026-04-26,2319.49,2380.0,2306.72,2369.44,154591.6219
2026-04-27,2369.45,2404.37,2266.09,2303.67,300363.8586
2026-04-28,2303.66,2310.88,2258.24,2289.42,187932.2201
2026-04-29,2289.42,2346.95,2220.36,2252.9,355078.1015
2026-04-30,2252.9,2279.0,2231.64,2257.51,167194.2776
2026-05-01,2257.51,2325.28,2257.21,2295.63,191082.555
2026-05-02,2295.63,2343.6,2292.91,2316.97,85588.4724
2026-05-03,2316.97,2356.92,2297.59,2322.65,151074.4342
2026-05-04,2322.65,2398.93,2309.24,2347.16,453020.7985
2026-05-05,2347.17,2399.5,2344.93,2360.77,286636.7312
2026-05-06,2360.76,2423.74,2338.0,2350.84,420667.3161
2026-05-07,2350.84,2352.3,2280.1,2291.06,469521.9378
2026-05-08,2291.06,2321.22,2265.61,2307.06,421035.1582
2026-05-09,2307.07,2338.37,2300.0,2326.44,230431.157
2026-05-10,2326.43,2382.53,2311.83,2371.27,398122.8623
2026-05-11,2371.26,2374.92,2304.0,2339.87,236962.0552
2026-05-12,2339.88,2340.85,2256.27,2274.96,252981.1082
2026-05-13,2274.97,2323.36,2234.13,2258.65,258455.7299
2026-05-14,2258.66,2319.33,2238.64,2283.25,256680.8359
2026-05-15,2283.26,2300.29,2205.11,2224.66,288536.5507
2026-05-16,2224.65,2231.51,2162.55,2180.77,199288.5761
2026-05-17,2180.77,2198.14,2091.48,2131.0,175116.8149
2026-05-18,2131.0,2157.24,2077.23,2130.08,381878.3932
2026-05-19,2130.08,2146.95,2094.47,2111.93,186945.075
2026-05-20,2111.93,2149.0,2103.29,2129.44,189088.294
2026-05-21,2129.44,2157.5,2105.15,2133.76,232889.1117
2026-05-22,2133.77,2141.39,2057.79,2065.85,221783.2548
2026-05-23,2065.86,2149.95,2009.3,2117.68,350546.2289
2026-05-24,2117.69,2132.14,2063.0,2099.85,197748.7605
2026-05-25,2099.86,2141.98,2092.26,2113.01,166428.5979
2026-05-26,2113.01,2137.29,2084.52,2117.39,103033.6744
