date,open,high,low,close,volume
2026-04-07,80.03,87.02,78.38,85.56,4312598.52
2026-04-08,85.56,85.9,82.24,82.57,2952758.548
2026-04-09,82.56,85.95,81.4,83.33,2775927.629
2026-04-10,83.33,85.67,82.62,84.83,2186078.343
2026-04-11,84.83,86.26,83.8,84.93,1570901.883
2026-04-12,84.94,85.0,81.27,81.53,2174791.866
2026-04-13,81.54,86.81,81.4,86.51,2950390.415
2026-04-14,86.51,87.67,83.3,83.72,3532984.692
2026-04-15,83.72,85.83,82.65,84.9,2602448.593
2026-04-16,84.9,90.53,83.8,89.05,3940291.341
2026-04-17,89.06,90.73,87.34,88.76,4237208.388
2026-04-18,88.77,89.16,85.78,86.16,1893190.543
2026-04-19,86.15,87.12,82.94,83.47,2594849.065
2026-04-20,83.47,86.22,83.34,85.28,2300346.75
2026-04-21,85.29,86.89,84.31,86.03,2111587.269
2026-04-22,86.04,89.32,86.01,86.87,3154871.835
2026-04-23,86.86,87.18,84.48,86.12,2894663.239
2026-04-24,86.12,86.94,84.92,86.18,1818574.663
2026-04-25,86.18,86.8,85.53,86.18,1033932.436
2026-04-26,86.19,87.32,85.84,86.93,1453501.452
2026-04-27,86.93,88.08,83.63,84.82,3009101.691
2026-04-28,84.82,84.93,82.98,84.06,1664394.443
2026-04-29,84.06,85.56,81.4,83.04,2576063.596
2026-04-30,83.05,84.01,82.16,83.09,1372591.611
2026-05-01,83.09,84.86,83.08,83.76,1798067.959
2026-05-02,83.76,84.97,83.44,84.26,1027759.499
2026-05-03,84.26,84.97,83.58,83.91,1268647.522
2026-05-04,83.91,85.9,83.23,84.1,3469307.218
2026-05-05,84.11,86.98,84.04,86.29,2478888.126
2026-05-06,86.29,90.03,86.1,89.16,3483256.03
2026-05-07,89.16,90.44,87.63,88.42,2892180.501
2026-05-08,88.43,92.8,87.6,92.01,2644434.859
2026-05-09,92.02,94.17,91.85,93.13,1974272.696
2026-05-10,93.12,97.0,92.6,96.47,2559168.995
2026-05-11,96.46,98.41,94.3,97.37,3078049.965
2026-05-12,97.37,97.68,93.55,94.28,2810037.359
2026-05-13,94.28,95.99,90.27,91.17,3192571.802
2026-05-14,91.17,93.68,89.82,92.15,2709125.808
2026-05-15,92.16,92.66,88.55,89.24,2675843.631
2026-05-16,89.23,89.44,85.52,86.54,1963021.594
2026-05-17,86.53,87.29,83.5,85.24,1914165.244
2026-05-18,85.23,85.8,83.5,85.38,2771861.344
2026-05-19,85.38,85.97,83.7,84.29,1662986.216
2026-05-20,84.3,87.09,83.85,86.17,2365152.438
2026-05-21,86.17,88.0,85.32,87.36,2654321.9
2026-05-22,87.35,87.85,84.0,84.4,2208484.663
2026-05-23,84.4,87.5,81.5,85.75,2973101.711
2026-05-24,85.76,87.0,83.7,85.27,2086657.403
2026-05-25,85.27,86.52,84.71,85.06,1562235.465
2026-05-26,85.06,85.8,83.85,85.08,1012505.212
